,period_open,period_close,long_exposure,pnl,capital_used,short_exposure,orders,transactions,positions,gross_leverage,starting_exposure,net_leverage,returns,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,ASSETME,CORR,algo_volatility,benchmark_period_return,benchmark_volatility,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2017-01-03 21:00:00+00:00,2017-01-03 14:31:00+00:00,2017-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,216.99,-0.37100770040159226,,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,1,2017-01
2017-01-04 21:00:00+00:00,2017-01-04 14:31:00+00:00,2017-01-04 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,226.99,0.8591453061742022,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2,2017-01
2017-01-05 21:00:00+00:00,2017-01-05 14:31:00+00:00,2017-01-05 21:00:00+00:00,0.0,0.0,0.0,0.0,"[{'id': '4a3154be572d46d187b7f60baf720ff2', 'dt': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'amount': 1000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1894 [MSFT]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,10000000.0,10000000.0,0,0,0.0,0.0,226.75,0.676593308831697,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,3,2017-01
2017-01-06 21:00:00+00:00,2017-01-06 14:31:00+00:00,2017-01-06 21:00:00+00:00,62840.0,-32.419999999925494,-62872.42,0.0,"[{'id': '4a3154be572d46d187b7f60baf720ff2', 'dt': Timestamp('2017-01-06 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-05 21:00:00+0000', tz='UTC'), 'amount': 1000, 'filled': 1000, 'commission': 1.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1894 [MSFT]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 1000, 'dt': Timestamp('2017-01-06 21:00:00+0000', tz='UTC'), 'price': 62.87142, 'order_id': '4a3154be572d46d187b7f60baf720ff2', 'sid': Equity(1894 [MSFT]), 'commission': None}]","[{'sid': Equity(1894 [MSFT]), 'amount': 1000, 'cost_basis': 62.87242, 'last_sale_price': 62.84}]",0.006284020372794049,0.0,0.006284020372794049,-3.2420000000144e-06,62840.0,0.0,62840.0,10000000.0,9937127.58,9999967.58,1,0,62840.0,0.0,229.01,0.3947026088857737,2.5732577251528506e-05,0.0,0.0,-3.2420000000144e-06,,,-7.937253933193772,-7.937253933193771,-3.241999999943346e-06,0.006284020372794049,0.0,0.0,4,2017-01
2017-01-09 21:00:00+00:00,2017-01-09 14:31:00+00:00,2017-01-09 21:00:00+00:00,62640.0,-200.0,0.0,0.0,[],[],"[{'sid': Equity(1894 [MSFT]), 'amount': 1000, 'cost_basis': 62.87242, 'last_sale_price': 62.64}]",0.006264145591271832,62840.0,0.006264145591271832,-2.0000064840264287e-05,62640.0,62840.0,62640.0,9937127.58,9937127.58,9999767.58,1,0,62640.0,0.0,231.28,0.8143749802290328,0.00013804307243189096,0.0,0.0,-2.3242000000034402e-05,,,-8.48575772267024,-8.143787556754138,-2.3242000000038844e-05,0.006284020372794049,0.0,0.0,5,2017-01
2017-01-10 21:00:00+00:00,2017-01-10 14:31:00+00:00,2017-01-10 21:00:00+00:00,62620.00000000001,-20.0,0.0,0.0,"[{'id': '6ebf72b02aaf437fbbcec3033d1afd1e', 'dt': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'amount': -1000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1894 [MSFT]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],"[{'sid': Equity(1894 [MSFT]), 'amount': 1000, 'cost_basis': 62.87242, 'last_sale_price': 62.620000000000005}]",0.006262158069393988,62640.0,0.006262158069393988,-2.0000464850955524e-06,62620.00000000001,62640.0,62620.00000000001,9937127.58,9937127.58,9999747.58,1,0,62620.00000000001,0.0,229.87,0.37401969332356644,0.0001246567020594073,0.0,0.0,-2.5242000000091913e-05,,,-8.504706591391104,-8.034910901226183,-2.5242000000105235e-05,0.006284020372794049,0.0,0.0,6,2017-01
2017-01-11 21:00:00+00:00,2017-01-11 14:31:00+00:00,2017-01-11 21:00:00+00:00,0.0,537.4049999993294,63157.405,0.0,"[{'id': '6ebf72b02aaf437fbbcec3033d1afd1e', 'dt': Timestamp('2017-01-11 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-10 21:00:00+0000', tz='UTC'), 'amount': -1000, 'filled': -1000, 'commission': 1.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(1894 [MSFT]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': -1000, 'dt': Timestamp('2017-01-11 21:00:00+0000', tz='UTC'), 'price': 63.158405, 'order_id': '6ebf72b02aaf437fbbcec3033d1afd1e', 'sid': Equity(1894 [MSFT]), 'commission': None}]",[],0.0,62620.00000000001,0.0,5.3741856551825506e-05,0.0,62620.00000000001,0.0,9937127.58,10000284.985,10000284.985,0,0,0.0,0.0,229.73000000000002,-0.7355471819059461,0.00036584150622684836,0.0,0.0,2.849849999986276e-05,,,2.8044680843732825,8.398910827449825,-2.5242000000105235e-05,0.006284020372794049,0.0,0.0,7,2017-01
2017-01-12 21:00:00+00:00,2017-01-12 14:31:00+00:00,2017-01-12 21:00:00+00:00,0.0,0.0,0.0,0.0,[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000284.985,10000284.985,10000284.985,0,0,0.0,0.0,229.59,0.9039578597774701,0.00033947335382931255,0.0,0.0,2.849849999986276e-05,,,2.6445138167886966,7.856461684595819,-2.5242000000105235e-05,0.006284020372794049,0.0,0.0,8,2017-01
2017-01-13 21:00:00+00:00,2017-01-13 14:31:00+00:00,2017-01-13 21:00:00+00:00,0.0,0.0,0.0,0.0,"[{'id': 'e00e5351a5e649eda955f7fe33f8a298', 'dt': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'amount': 1000, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000284.985,10000284.985,10000284.985,0,0,0.0,0.0,237.75,-0.8584355832479433,0.00031810727944628906,0.0,0.0,2.849849999986276e-05,,,2.5085652479555183,7.407143111079987,-2.5242000000105235e-05,0.006284020372794049,0.0,0.0,9,2017-01
2017-01-17 21:00:00+00:00,2017-01-17 14:31:00+00:00,2017-01-17 21:00:00+00:00,235580.0,-118.78999999910593,-235698.79000000004,0.0,"[{'id': 'e00e5351a5e649eda955f7fe33f8a298', 'dt': Timestamp('2017-01-17 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-01-13 21:00:00+0000', tz='UTC'), 'amount': 1000, 'filled': 1000, 'commission': 1.0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(2862 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 1000, 'dt': Timestamp('2017-01-17 21:00:00+0000', tz='UTC'), 'price': 235.69779000000003, 'order_id': 'e00e5351a5e649eda955f7fe33f8a298', 'sid': Equity(2862 [TSLA]), 'commission': None}]","[{'sid': Equity(2862 [TSLA]), 'amount': 1000, 'cost_basis': 235.69879000000003, 'last_sale_price': 235.58}]",0.023557608484325795,0.0,0.023557608484325795,-1.187866147589478e-05,235580.0,0.0,235580.0,10000284.985,9764586.195,10000166.195,1,0,235580.0,0.0,235.58,0.246421642811787,0.00030927812283472656,0.0,0.0,1.6619499999981358e-05,,,1.3542869009776393,3.539747299492513,-2.5242000000105235e-05,0.023557608484325795,0.0,0.0,10,2017-01
